Rank,Title,Status,Study Results,Conditions,Interventions,Sponsor/Collaborators,Name1,Name2,Name3,Name4,Name5,Name6,Name7,Phases,Funded Bys,Study Type,Start Date,Completion Date,URL
9270,A Study for Treatment of Pain in Patients With Diabetic Neuropathy.,Completed,Has Results,"Diabetic Neuropathy, Painful",Drug: Placebo|Drug: Pregabalin|Drug: LY545694 21 mg|Drug: LY545694 49 mg|Drug: LY545694 105 mg,Eli Lilly and Company,Eli Lilly and Company,,,,,,,Phase 2,Industry,Interventional,11/8/2019,6/10/2019,https://ClinicalTrials.gov/show/NCT00785577
9271,A Study Evaluating the Safety and Effectiveness of a Nasal Spray to Treat Seasonal Allergies,Completed,Has Results,Seasonal Allergic Rhinitis,Drug: azelastine HCl/fluticasone propionate|Drug: azelastine Hcl|Drug: fluticasone propionate|Drug: placebo,Meda Pharmaceuticals,Meda Pharmaceuticals,,,,,,,Phase 3,Industry,Interventional,8/8/2019,11/8/2019,https://ClinicalTrials.gov/show/NCT00740792
9272,Use of Silodosin to Treat Moderate to Severe Abacterial Chronic Prostatitis/Chronic Pelvic Pain Syndrome.,Completed,Has Results,Abacterial Chronic Prostatitis/Chronic Pelvic Pain Syndrome,Drug: Silodosin 8 mg|Drug: Placebo|Drug: Silodosin 4 mg,Watson Pharmaceuticals,Watson Pharmaceuticals,,,,,,,Phase 2,Industry,Interventional,9/8/2019,10/9/2019,https://ClinicalTrials.gov/show/NCT00740779
9273,Study Evaluating The Combination Of Neratinib And Capecitabine In Solid Tumors And Breast Cancer,Completed,Has Results,Breast Cancer,Drug: Neratinib|Drug: Capecitabine,"Puma Biotechnology, Inc.","Puma Biotechnology, Inc.",,,,,,,Phase 1|Phase 2,Industry,Interventional,12/9/2008,6/18/2019,https://ClinicalTrials.gov/show/NCT00741260
9274,A Phase 2 Study of MP-376 to Prevent Acute Exacerbations in Chronic Obstructive Pulmonary Disease (COPD) Patients,Completed,Has Results,Chronic Obstructive Pulmonary Disease,Drug: MP-376|Drug: Placebo,"Horizon Pharma USA, Inc.","Horizon Pharma USA, Inc.",,,,,,,Phase 2,Industry,Interventional,10/8/2019,4/10/2019,https://ClinicalTrials.gov/show/NCT00739648
9275,"A Randomised, db, Placebo-controlled Study of BI 1356 for 18 Weeks Followed by a 34 Week Double-blind Extension Period (Placebo Patients Switched to Glimepiride) in Type 2 Diabetic Patients for Whom Treatment With Metformin is Inappropriate",Completed,Has Results,"Diabetes Mellitus, Type 2",Drug: Linagliptin|Drug: Linagliptin Placebo|Drug: Glimepiride,Boehringer Ingelheim,Boehringer Ingelheim,,,,,,,Phase 3,Industry,Interventional,8/8/2019,,https://ClinicalTrials.gov/show/NCT00740051
9276,An Efficacy and Safety Study of Extended-Release (ER) Paliperidone in Adolescent Participants With Schizophrenia,Completed,Has Results,Schizophrenia,Drug: Paliperidone extended release (ER)|Drug: Aripiprazole,"Janssen Research & Development, LLC","Janssen Research & Development, LLC",,,,,,,Phase 3,Industry,Interventional,12/9/2019,6/12/2019,https://ClinicalTrials.gov/show/NCT01009047
9277,Study Of The Pharmacokinetics And Safety Of Voriconazole In Children 2 To 11 Years Old Who Are At High Risk For Systemic Fungal Infection,Completed,Has Results,Candidiasis|Candidemia,Drug: voriconazole (Vfend),Pfizer,Pfizer,,,,,,,Phase 2,Industry,Interventional,12/8/2019,10/9/2019,https://ClinicalTrials.gov/show/NCT00739934
9278,A Study of CX157 (TriRima) for the Treatment of Depression,Completed,Has Results,Major Depressive Disorder,Drug: CX157 (TriRima)|Drug: Placebo,CeNeRx BioPharma Inc.,CeNeRx BioPharma Inc.,,,,,,,Phase 2,Industry,Interventional,9/8/2019,7/9/2019,https://ClinicalTrials.gov/show/NCT00739908
9279,Open-Label Clinical Study of Droxidopa in Patients With Neurogenic Orthostatic Hypotension (NOH),Completed,Has Results,Neurogenic Orthostatic Hypotension|Non-Diabetic Autonomic Neuropathy|Multiple System Atrophy|Dopamine Beta Hydroxylase Deficiency,Drug: Droxidopa|Drug: Placebo,Chelsea Therapeutics,Chelsea Therapeutics,,,,,,,Phase 3,Industry,Interventional,1/8/2019,12/10/2019,https://ClinicalTrials.gov/show/NCT00738062
9280,GORE VIABAHN Endoprosthesis Versus Percutaneous Transluminal Angioplasty (PTA) to Revise AV Grafts in Hemodialysis,Completed,Has Results,Renal Failure|Hemodialysis,Device: GORE VIABAHN Endoprosthesis with PROPATEN Bioactive Surface|Procedure: Percutaneous Transluminal Angioplasty,W.L.Gore & Associates,W.L.Gore & Associates,,,,,,,Phase 3,Industry,Interventional,9/8/2019,6/13/2019,https://ClinicalTrials.gov/show/NCT00737672
9281,"A Study to Determine the Efficacy and Safety of Lenalidomide in Patients With Mantle Cell NHL Who Have Relapsed or Progressed After Treatment With Bortezomib or Are Refractory to Bortezomib. The ""EMERGE"" Trial",Completed,Has Results,Mantle Cell Lymphoma,Drug: lenalidomide,Celgene,Celgene,,,,,,,Phase 2,Industry,Interventional,12/22/2008,11/8/2017,https://ClinicalTrials.gov/show/NCT00737529
9282,Safety and Efficacy of 12-wk Treatment With Two Doses of Tiotropium Respimat in Cystic Fibrosis,Completed,Has Results,Cystic Fibrosis,Drug: Placebo Respimat|Drug: Tiotropium bromide 5 mcg|Drug: tiotropium bromide-low dose-2.5mcg,Boehringer Ingelheim,Boehringer Ingelheim,,,,,,,Phase 2,Industry,Interventional,9/8/2019,,https://ClinicalTrials.gov/show/NCT00737100
9283,Prospective Multicenter Doubleblind Randomized Study of NXL104/Ceftazidime + Metronidazole vs. Meropenem in Treatment of Complicated Intra-abdominal Infections,Completed,Has Results,Complicated Intra-abdominal Infections,Drug: ceftazidime/NXL104 + metronidazole|Drug: meropenem,Pfizer,Pfizer,,,,,,,Phase 2,Industry,Interventional,3/31/2009,12/31/2009,https://ClinicalTrials.gov/show/NCT00752219
9284,"Evaluating the Cost-effectiveness, Efficacy, Safety and Tolerance of Mepilex® Ag Versus Silvadene®",Completed,Has Results,Second Degree Burn,Device: Mepilex|Device: Silvadene,Molnlycke Health Care AB,Molnlycke Health Care AB,,,,,,,Not Applicable,Industry,Interventional,8/8/2019,11/9/2019,https://ClinicalTrials.gov/show/NCT00742183
9285,A Study to Evaluate Tenofovir Disoproxil Fumarate (DF) in Asian-American Adults With Chronic Hepatitis B Infection,Completed,Has Results,Chronic Hepatitis B,Drug: Tenofovir disoproxil fumarate,Gilead Sciences,Gilead Sciences,,,,,,,Phase 4,Industry,Interventional,8/8/2019,7/10/2019,https://ClinicalTrials.gov/show/NCT00736190
9286,Phase 3 Study of Imiquimod Creams in the Treatment of External Genital Warts,Completed,Has Results,Genital Warts,Drug: 2.5% imiquimod cream|Drug: 3.75% imiquimod cream|Drug: Placebo cream,"Graceway Pharmaceuticals, LLC","Graceway Pharmaceuticals, LLC",,,,,,,Phase 3,Industry,Interventional,8/8/2019,7/9/2019,https://ClinicalTrials.gov/show/NCT00735462
9287,Safety and Efficacy of Linagliptin (BI 1356) as Monotherapy or in Combination in Type 2 DM,Completed,Has Results,"Diabetes Mellitus, Type 2",Drug: linagliptine 5 mg|Drug: linagliptine 5 mg and pioglitazone 30 mg,Boehringer Ingelheim,Boehringer Ingelheim,,,,,,,Phase 3,Industry,Interventional,8/8/2019,,https://ClinicalTrials.gov/show/NCT00736099
9288,A Study to Determine the Immunogenicity and Safety Profile of CSL Limited's Influenza Virus Vaccine Compared to a US Licensed Comparator Influenza Virus Vaccine,Completed,Has Results,Influenza,Biological: CSL Limited Influenza Virus Vaccine (Afluria®)|Biological: US Licensed Influenza Virus Vaccine (Fluzone®),Seqirus,Seqirus,,,,,,,Phase 4,Industry,Interventional,10/8/2019,6/9/2019,https://ClinicalTrials.gov/show/NCT00735475
9289,Evaluation of the Efficacy and Safety of E2007 (Perampanel) Given as Adjunctive Therapy in Subjects With Refractory Partial Seizures,Completed,Has Results,Epilepsy,Drug: perampanel,Eisai Inc.,Eisai Inc.,,,,,,,Phase 3,Industry,Interventional,10/8/2019,9/14/2019,https://ClinicalTrials.gov/show/NCT00735397
9290,Efficacy and Safety of Lisdexamfetamine Dimesylate (LDX) in Adolescents With Attention-Deficit/Hyperactivity Disorder (ADHD),Completed,Has Results,Attention Deficit Hyperactivity Disorder (ADHD),Drug: LDX 30 mg|Drug: LDX 50 mg|Drug: LDX 70 mg|Drug: Placebo,Shire,Shire,,,,,,,Phase 3,Industry,Interventional,10/8/2019,4/9/2019,https://ClinicalTrials.gov/show/NCT00735371
9291,Efficacy and Safety of Nebivolol (Added to Lisinopril or Losartan) in Hypertensive Patients,Completed,Has Results,Hypertension,Drug: nebivolol|Drug: Placebo,Forest Laboratories,Forest Laboratories,,,,,,,Phase 4,Industry,Interventional,8/8/2019,5/10/2019,https://ClinicalTrials.gov/show/NCT00734630
9292,Follow-Up Study for Exubera,Completed,Has Results,Diabetes Mellitus,Drug: Exubera|Other: Randomized diabetes therapy,Pfizer,Pfizer,,,,,,,,Industry,Observational,8/8/2019,1/12/2019,https://ClinicalTrials.gov/show/NCT00734591
9293,Efficacy and Safety of SPD503 in Combination With Psychostimulants,Completed,Has Results,ADHD,Drug: SPD503-AM|Drug: SPD503-PM|Drug: Placebo,Shire,Shire,,,,,,,Phase 3,Industry,Interventional,9/8/2019,12/9/2019,https://ClinicalTrials.gov/show/NCT00734578
9294,A Study of the Effects of a New Antidepressant Treatment (GSK561679) in Females With Major Depressive Disorder,Completed,Has Results,"Depressive Disorder, Major",Drug: GSK561679|Other: Placebo,GlaxoSmithKline,GlaxoSmithKline,,,,,,,Phase 2,Industry,Interventional,10/2/2008,6/18/2010,https://ClinicalTrials.gov/show/NCT00733980
9295,Pipeline for Uncoilable or Failed Aneurysms,Completed,Has Results,Intracranial Aneurysm,Device: Pipeline Embolization Device (PED),Medtronic Neurovascular Clinical Affairs,Medtronic Neurovascular Clinical Affairs,,,,,,,Not Applicable,Industry,Interventional,10/8/2019,9/22/2014,https://ClinicalTrials.gov/show/NCT00777088
9296,Use of NPSP558 in the Treatment of Hypoparathyroidism,Completed,Has Results,Hypoparathyroidism,Drug: Placebo|Drug: NPSP558,Shire,Shire,,,,,,,Phase 3,Industry,Interventional,12/8/2019,11/11/2019,https://ClinicalTrials.gov/show/NCT00732615
9297,Rifaximin 3 Times/Day (TID) for Non-Constipation Irritable Bowel Syndrome (IBS),Completed,Has Results,Non-Constipation Irritable Bowel Syndrome,Drug: Rifaximin|Drug: Placebo,"Bausch Health Americas, Inc.","Bausch Health Americas, Inc.",,,,,,,Phase 3,Industry,Interventional,7/8/2019,9/9/2019,https://ClinicalTrials.gov/show/NCT00731679
9298,Efficacy and Safety of Dex-Methylphenidate Extended Release 30 mg Versus 20 mg in Children (6-12 Years) With Attention-Deficit/Hyperactivity Disorder (ADHD) in a Laboratory Classroom Setting.,Completed,Has Results,Attention-Deficit/Hyperactivity Disorder (ADHD),Drug: Dex-Methylphenidate hydrochloride Extended Release (Focalin® XR)|Drug: Placebo,Novartis Pharmaceuticals|Novartis,Novartis Pharmaceuticals,Novartis,,,,,,Phase 4,Industry,Interventional,10/8/2019,12/8/2019,https://ClinicalTrials.gov/show/NCT00776009
9299,Effects of the V1a Agonist FE 202158 in Patients With Septic Shock,Completed,Has Results,Septic Shock,Drug: FE 202158 1.25|Drug: FE 202158 2.5|Drug: FE 202158 3.75|Other: Placebo,Ferring Pharmaceuticals,Ferring Pharmaceuticals,,,,,,,Phase 2,Industry,Interventional,11/9/2019,9/11/2019,https://ClinicalTrials.gov/show/NCT01000649
9300,Study of New Implantable Loop Recorder,Completed,Has Results,Tachyarrhythmias|Syncope,Device: SJM Confirm,Abbott Medical Devices,Abbott Medical Devices,,,,,,,Not Applicable,Industry,Interventional,9/8/2019,6/14/2019,https://ClinicalTrials.gov/show/NCT00746564
9301,A Retrospective Study of the Natural History of Patients With Severe Perinatal and Infantile Hypophosphatasia (HPP),Completed,Has Results,Hypophosphatasia (HPP),,Alexion Pharmaceuticals,Alexion Pharmaceuticals,,,,,,,,Industry,Observational,8/12/2019,2/14/2019,https://ClinicalTrials.gov/show/NCT01419028
9302,Study of Reduced Dose of Menomune® in Children Who Previously Received Meningococcal Diphtheria Toxoid Conjugate Vaccine,Completed,Has Results,Meningitis|Meningococcemia|Neisseria Meningitidis,"Biological: A/C/Y/W-135, Meningococcal Polysaccharide Vaccine (Menomune®)","Sanofi Pasteur, a Sanofi Company|Sanofi","Sanofi Pasteur, a Sanofi Company",Sanofi,,,,,,Phase 2,Industry,Interventional,3/3/2019,5/4/2019,https://ClinicalTrials.gov/show/NCT00772070
9303,Efficacy and Safety of Pioglitazone and Metformin Combination Therapy in Treating Type 2 Diabetes Mellitus.,Completed,Has Results,Diabetes Mellitus,Drug: Pioglitazone and metformin|Drug: Pioglitazone|Drug: Metformin,Takeda,Takeda,,,,,,,Phase 3,Industry,Interventional,6/7/2019,8/8/2019,https://ClinicalTrials.gov/show/NCT00727857
9304,BIBW 2992 (Afatinib) With or Without Daily Temozolomide in the Treatment of Patients With Recurrent Malignant Glioma,Completed,Has Results,Glioma,Drug: BIBW 2992|Drug: TMZ|Drug: BIBW 2992 plus TMZ,Boehringer Ingelheim,Boehringer Ingelheim,,,,,,,Phase 2,Industry,Interventional,7/14/2008,5/25/2016,https://ClinicalTrials.gov/show/NCT00727506
9305,Dose-Escalation Study of TH-302 in Combination With Doxorubicin to Treat Patients With Advanced Soft Tissue Sarcoma,Completed,Has Results,Soft Tissue Sarcoma,Drug: TH-302,Threshold Pharmaceuticals,Threshold Pharmaceuticals,,,,,,,Phase 1|Phase 2,Industry,Interventional,8/8/2019,10/13/2019,https://ClinicalTrials.gov/show/NCT00742963
9306,Clinical Trial for Non-responders Who Previously Participated in Eltrombopag Studies TPL 103922 or TPL 108390,Completed,Has Results,Hepatitis C,Drug: Eltrombopag|Drug: Antiviral therapy,GlaxoSmithKline,GlaxoSmithKline,,,,,,,Phase 3,Industry,Interventional,9/9/2019,2/13/2019,https://ClinicalTrials.gov/show/NCT00996216
9307,IncobotulinumtoxinA (Xeomin) Versus Placebo in the Treatment of Glabellar Frown Lines,Completed,Has Results,Moderate to Severe Glabellar Frown Lines,Drug: IncobotulinumtoxinA (Xeomin) (20 Units)|Drug: Placebo,Merz Pharmaceuticals GmbH,Merz Pharmaceuticals GmbH,,,,,,,Phase 3,Industry,Interventional,10/8/2019,6/9/2019,https://ClinicalTrials.gov/show/NCT00770211
9308,Oral Cladribine in Early Multiple Sclerosis (MS),Completed,Has Results,Multiple Sclerosis,Drug: Cladribine|Drug: Placebo|Drug: Rebif® new formulation (RNF),EMD Serono,EMD Serono,,,,,,,Phase 3,Industry,Interventional,12/31/2008,4/30/2012,https://ClinicalTrials.gov/show/NCT00725985
9309,Study of GSK1363089 in Metastatic Gastric Cancer,Completed,Has Results,"Neoplasms, Gastrointestinal Tract",Drug: GSK1363089 (formerly XL880),GlaxoSmithKline,GlaxoSmithKline,,,,,,,Phase 2,Industry,Interventional,3/31/2007,11/30/2009,https://ClinicalTrials.gov/show/NCT00725712
9310,Fibromyalgia Health Outcome Study on Cost of Treatments,Completed,Has Results,Fibromyalgia,Drug: Treatment for Fibromyalgia,Eli Lilly and Company,Eli Lilly and Company,,,,,,,,Industry,Observational,6/8/2019,4/11/2019,https://ClinicalTrials.gov/show/NCT00725101
9311,The Efficacy and Tolerability of NP101 Patch in the Treatment of Acute Migraine,Completed,Has Results,Migraine Disorders,Drug: NP101 - Sumatriptan iontophoretic transdermal patch|Drug: Placebo,NuPathe Inc.|Teva Pharmaceutical Industries,NuPathe Inc.,Teva Pharmaceutical Industries,,,,,,Phase 3,Industry,Interventional,1/9/2019,7/9/2019,https://ClinicalTrials.gov/show/NCT00724815
9312,A Phase II Study of GSK1363089 (Formerly XL880) for Papillary Renal-Cell Carcinoma (PRC),Completed,Has Results,"Carcinoma, Renal Cell",Drug: foretinib (formerly GSK1363089 or XL880),GlaxoSmithKline,GlaxoSmithKline,,,,,,,Phase 2,Industry,Interventional,6/30/2006,8/18/2010,https://ClinicalTrials.gov/show/NCT00726323
9313,Safety and Efficacy Study of Switching From Epzicom to Truvada,Completed,Has Results,HIV Infection,Drug: emtricitabine (FTC)/tenofovir disoproxil fumarate (TDF)|Drug: abacavir (ABC)/lamivudine (3TC),Gilead Sciences,Gilead Sciences,,,,,,,Phase 4,Industry,Interventional,7/8/2019,4/11/2019,https://ClinicalTrials.gov/show/NCT00724711
9314,FOLFOX Plus SIR-SPHERES MICROSPHERES Versus FOLFOX Alone in Patients With Liver Mets From Primary Colorectal Cancer,Completed,Has Results,Colorectal Cancer|Colorectal Carcinoma|Liver Metastases,Device: SIR-Spheres yttrium-90 microspheres|Drug: Systemic chemotherapy (FOLFOX),Sirtex Medical,Sirtex Medical,,,,,,,Not Applicable,Industry,Interventional,8/6/2019,5/15/2019,https://ClinicalTrials.gov/show/NCT00724503
9315,Rifaximin 3 Times/Day (TID) for Non-Constipation Irritable Bowel Syndrome (IBS),Completed,Has Results,Non-Constipation Irritable Bowel Syndrome,Drug: Rifaximin|Drug: Placebo,"Bausch Health Americas, Inc.","Bausch Health Americas, Inc.",,,,,,,Phase 3,Industry,Interventional,7/8/2019,9/9/2019,https://ClinicalTrials.gov/show/NCT00724126
9316,Lamictal as Add-on Treatment for Bipolar I Disorder in Pediatric Patients,Completed,Has Results,Bipolar Disorder,Drug: lamictal,GlaxoSmithKline,GlaxoSmithKline,,,,,,,Phase 3,Industry,Interventional,7/8/2019,8/13/2019,https://ClinicalTrials.gov/show/NCT00723450
9317,"Open-Label, Chronic Exposure, Safety Study of CLONICEL (Clonidine HCl Sustained Release) in Children and Adolescents With Attention Deficit Hyperactivity Disorder (ADHD)",Completed,Has Results,Attention Deficit Hyperactivity Disorder,Drug: CLONICEL (Clonidine HCl sustained release),Shionogi|Shionogi Inc.,Shionogi,Shionogi Inc.,,,,,,Phase 3,Industry,Interventional,1/8/2019,6/10/2019,https://ClinicalTrials.gov/show/NCT00723190
9318,Phase 2 Study of GSK1363089 (Formerly XL880) in Adults With Squamous Cell Cancer of the Head and Neck,Completed,Has Results,"Neoplasms, Head and Neck",Drug: GSK1363089 (foretinib),GlaxoSmithKline,GlaxoSmithKline,,,,,,,Phase 2,Industry,Interventional,8/27/2007,5/2/2009,https://ClinicalTrials.gov/show/NCT00725764
9319,Mobile - Bearing Knee Study,Completed,Has Results,Inflammatory Tissue Disorder|Osteoarthritis|Avascular Necrosis|Post-traumatic Arthritis|Secondary Arthritis,Device: Encore Mobile-Bearing Knee,"Encore Medical, L.P.","Encore Medical, L.P.",,,,,,,Phase 3,Industry,Interventional,1/1/2000,8/8/2019,https://ClinicalTrials.gov/show/NCT00765362
9320,Study Of Letrozole With Or Without Palbociclib (PD-0332991) For The First-Line Treatment Of Hormone-Receptor Positive Advanced Breast Cancer,Completed,Has Results,Breast Cancer,Drug: PD 0332991|Drug: letrozole,Pfizer,Pfizer,,,,,,,Phase 2,Industry,Interventional,9/15/2008,12/20/2017,https://ClinicalTrials.gov/show/NCT00721409
9321,An Extension Study of Tocilizumab (Myeloma Receptor Antibody [MRA]) in Patients Completing Treatment in Tocilizumab Core Studies,Completed,Has Results,Rheumatoid Arthritis,Drug: Tocilizumab|Drug: Disease-modifying anti-rheumatic drugs|Drug: Non-steroidal anti-inflammatory drugs|Drug: Oral corticosteroids,Hoffmann-La Roche,Hoffmann-La Roche,,,,,,,Phase 3,Industry,Interventional,9/5/2019,4/13/2019,https://ClinicalTrials.gov/show/NCT00720798
9322,A Study to Evaluate the Safety and Effectiveness of a Nasal Spray to Treat Seasonal Allergies,Completed,Has Results,Seasonal Allergic Rhinitis,Drug: Placebo|Drug: 0.15% azelastine hydrochloride,Meda Pharmaceuticals,Meda Pharmaceuticals,,,,,,,Phase 3,Industry,Interventional,12/8/2019,2/9/2019,https://ClinicalTrials.gov/show/NCT00824473
9323,A Study to Compare the NexGen CR and CR-Flex Knee Implants,Completed,Has Results,Total Knee Arthroplasty|Osteoarthritis,Device: NexGen CR-Flex Fixed Bearing Knee|Device: NexGen CR Knee,Zimmer Biomet,Zimmer Biomet,,,,,,,Not Applicable,Industry,Interventional,9/4/2019,12/10/2019,https://ClinicalTrials.gov/show/NCT00761956
9324,A Study to Evaluate the Safety and Tolerability of a Nasal Spray to Treat Perennial Allergic Rhinitis,Completed,Has Results,Perennial Allergic Rhinitis,Drug: 0.15% azelastine hydrochloride|Drug: Mometasone furoate,Meda Pharmaceuticals,Meda Pharmaceuticals,,,,,,,Phase 3,Industry,Interventional,3/7/2019,7/8/2019,https://ClinicalTrials.gov/show/NCT00720382
9325,A Study to Evaluate the Safety and Efficacy of Two Nasal Sprays to Treat Seasonal Allergies,Completed,Has Results,Seasonal Allergic Rhinitis,Drug: 0.15% azelastine hydrochloride 1644 mcg daily|Drug: 0.1% azelastine hydrochloride 1096 mcg daily|Drug: Placebo,Meda Pharmaceuticals,Meda Pharmaceuticals,,,,,,,Phase 3,Industry,Interventional,8/7/2019,11/7/2019,https://ClinicalTrials.gov/show/NCT00720278
9326,A Study to Evaluate the Safety & Effectiveness of a Nasal Spray to Treat Seasonal Allergies,Completed,Has Results,Seasonal Allergic Rhinitis,Drug: Placebo nasal spray|Drug: 0.15% azelastine hydrochloride Nasal Spray,Meda Pharmaceuticals,Meda Pharmaceuticals,,,,,,,Phase 3,Industry,Interventional,8/7/2019,11/7/2019,https://ClinicalTrials.gov/show/NCT00719862
9327,Safety and Efficacy Study of a Fluoroquinolone to Treat Complicated Skin Infections,Completed,Has Results,Skin Structure Infections|Bacterial Skin Diseases|Staphylococcal Skin Infections,Drug: delafloxacin|Drug: tigecycline,"Melinta Therapeutics, Inc.","Melinta Therapeutics, Inc.",,,,,,,Phase 2,Industry,Interventional,6/8/2019,10/8/2019,https://ClinicalTrials.gov/show/NCT00719810
9328,"Clinical Study to Investigate the Pharmacokinetics, Efficacy, Safety and Immunogenicity of a Recombinant FVIII in Patients With Severe Hemophilia A",Completed,Has Results,Hemophilia A,Biological: Human-cl rhFVIII|Biological: Kogenate FS,Octapharma,Octapharma,,,,,,,Phase 2,Industry,Interventional,5/10/2019,9/12/2019,https://ClinicalTrials.gov/show/NCT00989196
9329,The Long-term Antibody Persistence of GSK Biologicals' Meningococcal Vaccine GSK134612 in Healthy Toddlers,Completed,Has Results,"Infections, Meningococcal",Biological: Meningococcal vaccine GSK134612,GlaxoSmithKline,GlaxoSmithKline,,,,,,,Phase 2,Industry,Interventional,10/20/2008,3/28/2014,https://ClinicalTrials.gov/show/NCT00718666
9330,A Placebo Controlled Safety and Efficacy Study of MSDC-0160 in Type 2 Diabetes With Active Comparator,Completed,Has Results,Type 2 Diabetes Mellitus,Drug: Placebo|Drug: Pioglitazone|Drug: MSDC-0160 90 mg|Drug: MSDC-0160 220 mg,Metabolic Solutions Development Company,Metabolic Solutions Development Company,,,,,,,Phase 2,Industry,Interventional,9/8/2019,2/9/2019,https://ClinicalTrials.gov/show/NCT00760578
9331,Study of Ramucirumab in Ovarian Cancer,Completed,Has Results,Ovarian Cancer|Fallopian Tube Cancer|Primary Peritoneal Carcinoma,Biological: Ramucirumab,Eli Lilly and Company,Eli Lilly and Company,,,,,,,Phase 2,Industry,Interventional,8/8/2019,8/15/2019,https://ClinicalTrials.gov/show/NCT00721162
9332,Vistakon Investigational Contact Lenses Worn for Daily Wear,Completed,Has Results,Myopia,Device: galyifilcon A control lens|Device: galyfilcon A with a silver additive,"Johnson & Johnson Vision Care, Inc.","Johnson & Johnson Vision Care, Inc.",,,,,,,Not Applicable,Industry,Interventional,8/7/2019,4/8/2019,https://ClinicalTrials.gov/show/NCT00717249
9333,Certolizumab Pegol for the Treatment of Patients With Active Rheumatoid Arthritis,Completed,Has Results,Rheumatoid Arthritis,Drug: Certolizumab pegol (CZP)|Other: Placebo,UCB Pharma,UCB Pharma,,,,,,,Phase 3,Industry,Interventional,7/8/2019,3/11/2019,https://ClinicalTrials.gov/show/NCT00717236
9334,Phase 2 Study of VELCADE (Bortezomib) in Patients With Relapsed Follicular Lymphoma,Completed,Has Results,Relapsed Follicular Lymphoma,Drug: rituximab|Drug: cyclophosphamide|Drug: doxorubicin|Drug: VELCADE|Drug: prednisone,"Millennium Pharmaceuticals, Inc.","Millennium Pharmaceuticals, Inc.",,,,,,,Phase 2,Industry,Interventional,9/8/2019,3/11/2019,https://ClinicalTrials.gov/show/NCT00715208
9335,"Short Term Treatment With BI 201335, Peginterferon-alpha 2a and Ribavirin in Hepatitis c Virus Genotype-1 Treatment-naïve Patients (SILEN-C3)",Completed,Has Results,Hepatitis C,Drug: BI 201335|Drug: Pegylated Interferon-alpha (IFN)|Drug: Ribavirin (RBV),Boehringer Ingelheim,Boehringer Ingelheim,,,,,,,Phase 2,Industry,Interventional,9/9/2019,,https://ClinicalTrials.gov/show/NCT00984620
9336,To Evaluate Sipuleucel-T Manufactured With Different Concentrations of (PA2024) Antigen,Completed,Has Results,Prostate Cancer,Biological: sipuleucel-T,Dendreon,Dendreon,,,,,,,Phase 2,Industry,Interventional,10/8/2019,5/15/2019,https://ClinicalTrials.gov/show/NCT00715078
9337,AMPLATZER Duct Occluder II Clinical Study,Completed,Has Results,Patent Ductus Arteriosus,Device: AMPLATZER Duct Occluder II,Abbott Medical Devices,Abbott Medical Devices,,,,,,,Not Applicable,Industry,Interventional,8/8/2019,10/5/2016,https://ClinicalTrials.gov/show/NCT00713700
9338,Assessing the Safety/Efficacy of Asacol® Given Every 12 Hours to Children and Adolescents With Active Ulcerative Colitis,Completed,Has Results,Ulcerative Colitis,Drug: Asacol 400 mg,Warner Chilcott,Warner Chilcott,,,,,,,Phase 3,Industry,Interventional,12/8/2019,3/11/2019,https://ClinicalTrials.gov/show/NCT00713310
9339,A Study to Evaluate the Safety and Effectiveness of a Nasal Spray to Treat Perennial Allergies,Completed,Has Results,Perennial Allergic Rhinitis,Drug: 0.15% azelastine hydrochloride|Drug: 0.1% azelastine hydrochloride|Drug: Placebo,Meda Pharmaceuticals,Meda Pharmaceuticals,,,,,,,Phase 3,Industry,Interventional,1/7/2019,,https://ClinicalTrials.gov/show/NCT00712920
9340,A Study for Safety and Effectiveness of IMC-A12 by Itself or Combined With Antiestrogens to Treat Breast Cancer,Completed,Has Results,Metastatic Breast Cancer,Biological: IMC-A12 (cixutumumab)|Drug: tamoxifen|Drug: Anastrozole|Drug: Letrozole|Drug: Exemestane|Drug: Fulvestrant,Eli Lilly and Company,Eli Lilly and Company,,,,,,,Phase 2,Industry,Interventional,8/8/2019,2/15/2019,https://ClinicalTrials.gov/show/NCT00728949
9341,Immunogenicity & Safety of GSK's Avian Flu Vaccine 1557484A Given to Adults Aged ≥18 Years,Completed,Has Results,Influenza,"Biological: A/turkey H5N1 vaccine|Biological: Influenza A (H5N1) Virus Monovalent Vaccine, Adjuvanted (A/Indonesia)|Biological: Placebo",GlaxoSmithKline,GlaxoSmithKline,,,,,,,Phase 2,Industry,Interventional,7/11/2008,2/18/2011,https://ClinicalTrials.gov/show/NCT00719043
9342,3 yr Efficacy & Safety Study of Zoledronic Acid in Post-menopausal Women With Osteoporosis Treated With Zol Acid for 6 Yrs,Completed,Has Results,Post-menopausal Osteoporosis,Drug: Placebo|Drug: Zoledronic acid,Novartis Pharmaceuticals|Novartis,Novartis Pharmaceuticals,Novartis,,,,,,Phase 3,Industry,Interventional,5/8/2019,4/13/2019,https://ClinicalTrials.gov/show/NCT00718861
