CTID,Title,Conditions,Results First Posted,Ticker
NCT02638259,Comparative Efficacy and Safety Study of GP2015 and Enbrel® in Patients With Rheumatoid Arthritis,Rheumatoid Arthritis,2/23/2018,
NCT01693029,Study to Compare Safety and Efficacy of HX575 Epoetin Alfa and US-licensed Epoetin Alfa,Anemia|Chronic Kidney Disease (CKD),5/12/2017,
NCT00619957,Efficacy and Safety of Risedronate Therapy Administered 35 mg Once A Week in Men With Osteoporosis,Other Osteoporosis,10/28/2011,GCVRZ
NCT00885105,Evaluation of Responses to Fluzone® in Infants ≥ 6 Months of Age Who Did or Did Not Receive Fluzone® at 2 Months of Age,Influenza,1/1/2010,GCVRZ
NCT00247273,A Study of Monthly Risedronate for Osteoporosis,Postmenopausal Osteoporosis,6/21/2011,GCVRZ
NCT02787551,"Efficacy and Safety of the Insulin Glargine/Lixisenatide Fixed Ratio Combination (FRC) Versus GLP-1 Receptor Agonist in Patients With Type 2 Diabetes, With a FRC Extension Period",Type 2 Diabetes Mellitus,6/12/2019,GCVRZ
NCT02735044,Comparison of the Safety and Efficacy of HOE901-U300 With Lantus in Children and Adolescents With Type 1 Diabetes Mellitus,Type 1 Diabetes Mellitus,6/19/2019,GCVRZ
NCT02320721,Comparison of the Safety and Efficacy of HOE901-U300 With Lantus in Older Patients With Type2 Diabetes Insufficiently Controlled on Their Current Antidiabetic Medications,Type 2 Diabetes Mellitus,7/11/2017,GCVRZ
NCT02294474,Comparison of SAR342434 to Humalog as the Rapid Acting Insulin in Adult Patients With Type 2 Diabetes Mellitus Also Using Insulin Glargine,Type 2 Diabetes Mellitus,1/18/2018,GCVRZ
NCT02273180,Comparison of SAR342434 to Humalog as the Rapid Acting Insulin in Adult Patients With Type 1 Diabetes Mellitus Also Using Insulin Glargine,Type 1 Diabetes Mellitus,1/18/2018,GCVRZ
NCT02058160,Efficacy and Safety of the Insulin Glargine/Lixisenatide Fixed Ratio Combination Versus Insulin Glargine in Patients With Type 2 Diabetes,Type 2 Diabetes,2/10/2017,GCVRZ
NCT02058147,Efficacy and Safety of Insulin Glargine/ Lixisenatide Fixed Ratio Combination Compared to Insulin Glargine Alone and Lixisenatide Alone on Top of Metformin in Patients With T2DM,Type 2 Diabetes,2/10/2017,GCVRZ
NCT01798706,Efficacy and Safety of Lixisenatide Versus Placebo on Top of Basal Insulin and/or Oral Antidiabetic Treatment in Older Type 2 Diabetic Patients,Type 2 Diabetes,10/14/2016,GCVRZ
NCT01768559,Efficacy and Safety of Lixisenatide Versus Insulin Glulisine on Top of Insulin Glargine With or Without Metformin in Type 2 Diabetic Patients,Type 2 Diabetes,1/4/2017,GCVRZ
NCT01712984,Study of Intradermal Quadrivalent Influenza Vaccine in Adults Aged 18 Through 64 Years,Influenza,2/10/2014,GCVRZ
NCT01683266,Comparison of a New Formulation of Insulin Glargine With Lantus in Patients With Type 1 Diabetes Mellitus,Type 1 Diabetes Mellitus,4/23/2015,GCVRZ
NCT01676220,Comparison of a New Formulation of Insulin Glargine With Lantus in Patients With Type 2 Diabetes on Non-insulin Antidiabetic Therapy,Type 2 Diabetes Mellitus,4/23/2015,GCVRZ
NCT01517412,Comparison of Lixisenatide Injected Prior to the Main Meal of the Day Versus Prior to Breakfast in Type 2 Diabetic Patients on Metformin,Type 2 Diabetes Mellitus,10/14/2016,GCVRZ
NCT01499095,Comparison of a New Formulation of Insulin Glargine With Lantus in Patients With Type 2 Diabetes on Basal Insulin With Oral Antidiabetic Therapy,Type 2 Diabetes Mellitus,4/23/2015,GCVRZ
NCT01499082,Comparison of a New Formulation of Insulin Glargine With Lantus in Patients With Type 2 Diabetes Mellitus on Basal Plus Mealtime Insulin,Type 2 Diabetes Mellitus,4/23/2015,GCVRZ
NCT01346293,Study of DTap-IPV Compared to DAPTACEL® and IPOL® as the 5th Dose in Children 4 to 6 Years of Age,Tetanus|Diphtheria|Pertussis|Measles|Polio,5/29/2015,GCVRZ
NCT01308580,Cabazitaxel at 20 mg/m² Compared to 25 mg/m² With Prednisone for the Treatment of Metastatic Castration Resistant Prostate Cancer,Prostate Cancer,10/11/2016,GCVRZ
NCT01308567,Cabazitaxel Versus Docetaxel Both With Prednisone in Patients With Metastatic Castration Resistant Prostate Cancer,Prostate Cancer,3/3/2017,GCVRZ
NCT01240746,Study of Quadrivalent Influenza Vaccine Among Children,Influenza,1/14/2014,GCVRZ
NCT01218646,Study of Quadrivalent Influenza Vaccine Among Adults,Influenza,9/12/2013,GCVRZ
NCT01147250,Evaluation of Cardiovascular Outcomes in Patients With Type 2 Diabetes After Acute Coronary Syndrome During Treatment With AVE0010 (Lixisenatide),Acute Coronary Syndrome,10/14/2016,GCVRZ
NCT00976937,24-week Study Comparing Lixisenatide to Sitagliptin as add-on to Metformin in Obese Type 2 Diabetic Patients Younger Than 50 Years,Type 2 Diabetes Mellitus,10/11/2016,GCVRZ
NCT00975286,24-week Treatment With Lixisenatide in Type 2 Diabetes Insufficiently Controlled With Metformin and Insulin Glargine,Type 2 Diabetes Mellitus,10/11/2016,GCVRZ
NCT00993473,6-month Comparison of Morning Lantus Versus Neutral Protamine Hagedorn Insulin in Young Children With Type 1 Diabetes,Type 1 Diabetes Mellitus,6/22/2012,GCVRZ
NCT00772928,Study of the Effect of Pneumococcal Conjugate Vaccine (PCV) on Immunogenicity of Pentacel™,Diphtheria|Tetanus|Haemophilus Infection|Pertussis|Polio,2/12/2010,GCVRZ
NCT00772109,Study of Fluzone Vaccine Administered by Intradermal Route in Comparison With Standard Fluzone® in Adults,Orthomyxoviridae Infection|Influenza|Myxovirus Infection,8/10/2011,GCVRZ
NCT00763815,"GLP-1 Receptor Agonist Lixisenatide in Patients With Type 2 Diabetes for Glycemic Control and Safety Evaluation, on Top of Pioglitazone",Diabetes Mellitus Type 2,10/11/2016,GCVRZ
NCT00751881,An Efficacy Study of Teriflunomide in Participants With Relapsing Multiple Sclerosis,Multiple Sclerosis,6/26/2013,GCVRZ
NCT00622700,Phase III Study With Teriflunomide Versus Placebo in Patients With First Clinical Symptom of Multiple Sclerosis,Multiple Sclerosis,12/19/2014,GCVRZ
NCT00483574,Study of the Safety of Menactra® Vaccine When Administered With Other Pediatric Vaccines to Healthy Toddlers,Meningococcal Meningitis|Measles|Mumps|Rubella|Varicella,7/6/2011,GCVRZ
NCT00467519,Safety and Immunogenicity of Tdap Vaccine Compared to DTaP Vaccine in Children 4 to 6 Years of Age,Tetanus|Diphtheria|Pertussis,12/3/2010,GCVRZ
NCT00422292,Immunogenicity and Safety of Pediatric Vaccines When Administered With Menactra® in Healthy Toddlers,Meningococcal Meningitis|Measles|Mumps|Rubella|Varicella,6/2/2011,GCVRZ
NCT00391053,"Immunogenicity of High-dose Inactivated, Split-virion Influenza Vaccine Versus Standard Fluzone Vaccine in the Elderly",Orthomyxoviridae Infection|Influenza|Myxovirus Infection,4/30/2010,GCVRZ
NCT00384397,"A Study of 2 Doses of Menactra®, a Meningococcal Conjugate Vaccine in Healthy Toddlers",Meningococcal Meningitis|Measles|Mumps|Rubella|Varicella,6/2/2011,GCVRZ
NCT00314132,Safety Study of ChimeriVax™-JE Vaccine to Prevent Japanese Encephalitis.,Encephalitis|Japanese Encephalitis,12/5/2012,GCVRZ
NCT00258895,Safety and Immunogenicity of DAPTACEL® as 5th Dose in Children 4 to 6 Years Old After 4 Doses of Pentacel™ or DAPTACEL®,Diphtheria|Tetanus|Pertussis,9/28/2009,GCVRZ
NCT00255047,Safety and Immune Response of Different Pediatric Combination Vaccines.,Diphtheria|Polio|Pertussis,11/10/2010,GCVRZ
NCT00230178,Rasburicase Versus Allopurinol in Tumor Patients at Risk for Hyperuricemia and Tumor Lysis Syndrome,Tumor Lysis Syndrome|Cancer|Hyperuricemia,12/31/2009,GCVRZ
NCT00314145,A Safety and Efficacy Study of Two Japanese Encephalitis Vaccines ChimeriVax™-JE and JE-VAX,Japanese Encephalitis,12/5/2012,GCVRZ
NCT00803049,Long Term Safety and Efficacy Study of Teriflunomide 7 mg or 14 mg in Patients With Relapsing-Remitting Multiple Sclerosis,Multiple Sclerosis,1/30/2017,GCVRZ
NCT00132301,Chemotherapy After Prostatectomy (CAP) For High Risk Prostate Carcinoma,Prostate Cancer,6/25/2018,GCVRZ
NCT00851903,Evaluation of Insulin Glargine in Combination With Sitagliptin in Type 2 Diabetes Patients: EASIE Extension Trial,"Diabetes Mellitus, Type 2",10/4/2012,GCVRZ
NCT00763451,"GLP-1 Receptor Agonist Lixisenatide in Patients With Type 2 Diabetes for Glycemic Control and Safety Evaluation, on Top of Metformin","Diabetes Mellitus, Type 2",12/14/2016,GCVRZ
NCT00715624,"GLP-1 Receptor Agonist Lixisenatide in Patients With Type 2 Diabetes for Glycemic Control and Safety Evaluation, on Top of Basal Insulin","Diabetes Mellitus, Type 2",10/11/2016,GCVRZ
NCT00713830,"GLP-1 Receptor Agonist Lixisenatide in Patients With Type 2 Diabetes for Glycemic Control and Safety Evaluation, on Top of Sulfonylurea","Diabetes Mellitus, Type 2",12/14/2016,GCVRZ
NCT00712673,"GLP-1 Receptor Agonist Lixisenatide (Morning or Evening) in Patients With Type 2 Diabetes for Glycemic Control and Safety Evaluation, on Top of Metformin","Diabetes Mellitus, Type 2",12/15/2016,GCVRZ
NCT00707031,"GLP-1 Receptor Agonist Lixisenatide Versus Exenatide in Patients With Type 2 Diabetes for Glycemic Control and Safety Evaluation, on Top of Metformin","Diabetes Mellitus, Type 2",10/11/2016,GCVRZ
NCT00688701,GLP-1 Receptor Agonist Lixisenatide in Patients With Type 2 Diabetes for Glycemic Control and Safety Evaluation in Monotherapy,"Diabetes Mellitus, Type 2",12/12/2016,GCVRZ
NCT00549939,Alfuzosin Treatment in Children and Adolescents With Neurogenic Urinary Bladder Dysfunction,Neurogenic Urinary Bladder,2/8/2011,GCVRZ
NCT00489736,Efficacy & Safety of Dronedarone Versus Amiodarone for the Maintenance of Sinus Rhythm in Patients With Atrial Fibrillation,Atrial Fibrillation,11/9/2009,GCVRZ
NCT00417079,XRP6258 Plus Prednisone Compared to Mitoxantrone Plus Prednisone in Hormone Refractory Metastatic Prostate Cancer,Neoplasms|Prostatic Neoplasms,12/23/2010,GCVRZ
NCT00283062,Adjuvant Leuprolide With or Without Docetaxel in High Risk Prostate Cancer After Radical Prostatectomy,Prostatic Neoplasms,1/23/2012,GCVRZ
NCT00174785,A Trial With Dronedarone to Prevent Hospitalization or Death in Patients With Atrial Fibrillation,Atrial Fibrillation|Atrial Flutter,12/23/2009,GCVRZ
NCT00134563,Study of Teriflunomide in Reducing the Frequency of Relapses and Accumulation of Disability in Patients With Multiple Sclerosis,Multiple Sclerosis,11/6/2012,GCVRZ
NCT01358266,Study Assessing Double-masked Uveitis Treatment,"Uveitis; Posterior, Disorder",7/16/2019,
NCT00697073,Study to Assess the Safety and Tolerability of Idebenone in the Treatment of Friedreich's Ataxia Patients,Friedreich's Ataxia,8/4/2011,
NCT00537680,"Study to Assess the Efficacy, Safety and Tolerability of Idebenone in the Treatment of Friedreich's Ataxia",Friedreich's Ataxia,12/29/2011,
NCT01027884,Phase III Study of Idebenone in Duchenne Muscular Dystrophy (DMD),"Muscular Dystrophy, Duchenne|Ambulatory Care",10/19/2015,
NCT00536744,Effectiveness of dermaPACE™ Device and Standard Treatment Compared to Standard Treatment Alone for Diabetic Foot Ulcers,Diabetic Foot Ulcers,4/14/2014,
NCT00675103,Re-exposure Study of Pegloticase Intravenous (i.v.) in Symptomatic Gout Patients,Chronic Gout Refractory to Conventional Therapy,6/28/2011,
NCT01356498,Open-Label Extension Study for Patients Who Completed a Phase 3 Double-blind Study of PEG-uricase for Symptomatic Gout,Gout,12/2/2011,
NCT00325195,Safety and Efficacy Study of PEG-uricase in the Treatment of Hyperuricemic Patients With Symptomatic Gout,Gout,2/25/2011,
NCT00475852,A Study Testing the Effectiveness of Nesiritide in Patients With Acute Decompensated Heart Failure,Heart Decompensation,5/10/2012,
NCT00450112,Gel-200 Extension and Open-Label Study in Osteoarthritis of the Knee,Osteoarthritis of the Knee,8/22/2011,
NCT00449696,Gel-200 Versus Placebo in Osteoarthritis of the Knee,Osteoarthritis of the Knee,9/15/2011,
NCT02914275,A Study to Evaluate the Immunogenicity and Safety of Seqirus Quadrivalent Influenza Vaccine (QIV) in a Pediatric Population 6 Months Through 59 Months of Age.,"Influenza, Human",1/23/2019,
NCT02545543,A Study to Evaluate the Immunogenicity and Safety of Seqirus Quadrivalent Influenza Vaccine (QIV) in a Pediatric Population 5 Through 17 Years of Age,"Influenza, Human",4/18/2017,
NCT02214225,A Study to Evaluate the Immunogenicity and Safety of bioCSL Quadrivalent Influenza Vaccine (QIV) in Adults Aged 18 Years and Above.,"Influenza, Human",2/23/2016,
NCT00959049,A Study to Determine the Immunogenicity and Safety Profile of CSL Limited's Influenza Virus Vaccine Compared to a US Licensed Comparator Influenza Virus Vaccine in a Pediatric Population,Influenza,7/29/2011,
NCT03331042,SM-1 vs 2 Comparators and Placebo in Participants With a History of Transient Insomnia.,Transient Insomnia,6/5/2019,
NCT01993940,Efficacy and Safety of Naldemedine in Treating Opioid-induced Constipation,Opioid-induced Constipation,5/30/2017,
NCT01965652,Long Term Safety of Naldemedine,Opioid-induced Constipation,5/30/2017,
NCT01965158,Efficacy and Safety of Naldemedine in the Treatment of Opioid-induced Constipation,Opioid-induced Constipation,5/30/2017,
NCT00723190,"Open-Label, Chronic Exposure, Safety Study of CLONICEL (Clonidine HCl Sustained Release) in Children and Adolescents With Attention Deficit Hyperactivity Disorder (ADHD)",Attention Deficit Hyperactivity Disorder,2/27/2012,
NCT00491894,Safety and Efficacy Study of Oral Glycopyrrolate Liquid for the Treatment of Pathologic (Chronic Moderate to Severe) Drooling in Pediatric Patients 3 to 18 Years of Age With Cerebral Palsy or Other Neurologic Conditions,Cerebral Palsy|Neurological Conditions|Mental Retardation|Sialorrhea,7/9/2012,
NCT00262080,Efficacy and Safety Study of DX-88 to Treat Acute Attacks of Hereditary Angioedema (HAE),Hereditary Angioedema (HAE),5/11/2010,SHPGF
NCT00097695,Subcutaneous Treatment With Icatibant for Acute Attacks of Hereditary Angioedema,Angioedema,12/24/2013,SHPGF
NCT00506285,Methylphenidate Transdermal System (MTS) in the Treatment of Adult ADHD,Attention Deficit Hyperactivity Disorder,1/16/2015,SHPGF
NCT01560403,"A One-Year, Open-Label Study With Teduglutide for Subjects Who Completed Study CL0600-021",Short Bowel Syndrome,12/25/2014,SHPGF
NCT00697515,Safety and Efficacy Workplace Environment Study of Lisdexamfetamine Dimesylate (LDX) in Adults With Attention-Deficit Hyperactivity Disorder (ADHD),ADHD,2/1/2010,SHPGF
NCT02682381,Short Bowel Syndrome Research Study for Children Up To 17 Years of Age on Parenteral Nutrition,Short Bowel Syndrome,10/16/2018,SHPGF
NCT02604407,Safety and Efficacy Study of SHP465 in Adults Aged 18-55 Years With Attention-deficit/ Hyperactivity Disorder (ADHD),Attention Deficit Hyperactivity Disorder (ADHD),6/14/2017,SHPGF
NCT02584959,Study to Evaluate the Clinical Efficacy and Safety of Subcutaneously Administered C1 Esterase Inhibitor for the Prevention of Angioedema Attacks in Adolescents and Adults With Hereditary Angioedema,Hereditary Angioedema (HAE),11/28/2018,SHPGF
NCT02466425,Safety and Efficacy Study of SHP465 in Children and Adolescents Aged 6-17 Years With Attention-Deficit Hyperactivity Disorder (ADHD),Attention Deficit Hyperactivity Disorder (ADHD),3/20/2017,SHPGF
NCT02284516,A Study to Evaluate Efficacy and Safety of Lifitegrast in Subjects With Dry Eye (OPUS-3),Dry Eye Disease,3/15/2017,SHPGF
NCT02009163,Evaluate the Maintenance of Efficacy of SPD489 in Adults Aged 18-55 Years With Moderate to Severe Binge Eating Disorder,Binge Eating Disorder,4/1/2016,SHPGF
NCT01952080,"A Pharmacokinetic, Safety, and Pharmacodynamic Study of Teduglutide in Pediatric Subjects With Short Bowel Syndrome",Short Bowel Syndrome,9/14/2015,SHPGF
NCT01743729,A Phase 3 Study to Evaluate the Efficacy of Lifitegrast in Subjects With Dry Eye,Dry Eye Disease,2/24/2017,SHPGF
NCT01718509,SPD489 in Adults Aged 18-55 Years With Moderate to Severe Binge Eating Disorder,Binge Eating Disorder,8/21/2014,SHPGF
NCT01718483,SPD489 in Adults Aged 18-55 Years With Moderate to Severe Binge Eating Disorder,Binge Eating Disorder,7/21/2014,SHPGF
NCT01657019,Open Label Extension in Adults With Binge Eating Disorder (BED),Binge Eating Disorder,12/15/2015,SHPGF
NCT01636206,Safety Study of Lifitegrast to Treat Dry Eye,Dry Eye Disease,10/3/2016,SHPGF
NCT01436162,Efficacy and Safety Study of SPD489 in Combination With an Antidepressant in the Treatment of Adults With Major Depressive Disorder,Major Depressive Disorder,11/7/2014,SHPGF
NCT01436149,Efficacy and Safety Study of SPD489 in Combination With an Antidepressant in the Treatment of Adults With Major Depressive Disorder,Major Depressive Disorder,11/19/2014,SHPGF
NCT01421498,Safety and Efficacy Study of SAR 1118 to Treat Dry Eye Conducted in a Controlled Adverse Environment (CAE) (OPUS-1),Keratoconjunctivitis Sicca|Dry Eye Disease,2/24/2017,SHPGF
NCT01386658,"A Pharmacokinetic, Tolerability and Safety Study of Icatibant in Children and Adolescents With Hereditary Angioedema",Hereditary Angioedema (HAE),3/25/2019,SHPGF
NCT01268098,Study of Safety and Efficacy of a rhPTH[1-84] of Fixed Doses of 25 and 50 mcg in Adults With Hypoparathyroidism (RELAY),Hypoparathyroidism,3/6/2015,SHPGF
NCT01244490,Efficacy and Safety of Extended-release Guanfacine Hydrochloride in Children and Adolescents Aged 6-17 Years With Attention-Deficit/Hyperactivity Disorder (ADHD),Attention Deficit Hyperactivity Disorder,7/14/2014,SHPGF
NCT01106430,Comparison of Lisdexamfetamine Dimesylate With Atomoxetine HCl in Attention-Deficit/Hyperactivity Disorder (ADHD) Subjects With an Inadequate Response to Methylphenidate,Attention-Deficit/Hyperactivity Disorder,6/24/2013,SHPGF
NCT01081145,Maintenance of Efficacy of Extended-Release Guanfacine HCl in Children and Adolescents With Attention-deficit/Hyperactivity Disorder (ADHD),Attention-deficit/Hyperactivity Disorder,6/9/2014,SHPGF
NCT01081132,Dose-optimization in Adolescents Aged 13-17 Diagnosed With Attention-deficit/Hyperactivity Disorder (ADHD) Using Extended-release Guanfacine HCl,Attention-Deficit/Hyperactivity Disorder,5/23/2014,SHPGF
NCT01005888,C1 Esterase Inhibitor (C1INH-nf) for the Prevention of Acute Hereditary Angioedema (HAE) Attacks,Hereditary Angioedema,6/3/2010,SHPGF
NCT00997984,Tolerability and Efficacy of AM and PM Once Daily Dosing With Extended-release Guanfacine Hydrochloride in Children 6-12 With Attention-Deficit/Hyperactivity Disorder (ADHD) (The ADHD Tempo Study),Attention-Deficit/Hyperactivity Disorder,10/26/2011,SHPGF
NCT00912093,A Study of Icatibant in Patients With Acute Attacks of Hereditary Angioedema (FAST-3),Hereditary Angioedema,8/6/2014,SHPGF
NCT00764868,Vyvanse Adolescent Open-Label Safety and Efficacy Extension Study,ADHD,3/28/2011,SHPGF
NCT00735371,Efficacy and Safety of Lisdexamfetamine Dimesylate (LDX) in Adolescents With Attention-Deficit/Hyperactivity Disorder (ADHD),Attention Deficit Hyperactivity Disorder (ADHD),2/23/2010,SHPGF
NCT00734578,Efficacy and Safety of SPD503 in Combination With Psychostimulants,ADHD,11/23/2010,SHPGF
NCT00732615,Use of NPSP558 in the Treatment of Hypoparathyroidism,Hypoparathyroidism,3/6/2015,SHPGF
NCT00635427,An Open-Label Extension Study of GA-GCB ERT in Patients With Type 1 Gaucher Disease,"Gaucher Disease, Type 1",1/28/2014,SHPGF
NCT00545740,Prevention of Recurrence of Diverticulitis,Diverticulitis,1/25/2013,SHPGF
NCT00545103,Prevention of Recurrence of Diverticulitis,Diverticulitis,12/19/2012,SHPGF
NCT00497796,Maribavir Versus Oral Ganciclovir For The Prevention of Cytomegalovirus (CMV) Disease in Liver Transplant Recipients,Cytomegalovirus Infections,6/4/2015,SHPGF
NCT00500149,A Classroom Study to Assess the Time of Onset of Vyvanse (Lisdexamfetamine Dimesylate) in Pediatric Subjects Aged 6-12 With Attention Deficit/Hyperactivity Disorder (ADHD),ADHD,6/5/2009,SHPGF
NCT00462709,Open-Label C1 Esterase Inhibitor (C1INH-nf) for the Prevention of Acute Hereditary Angioedema (HAE) Attacks,Hereditary Angioedema,5/3/2010,SHPGF
NCT00457015,Efficacy Study of DX-88 (Ecallantide) to Treat Acute Attacks of Hereditary Angioedema (HAE),Hereditary Angioedema (HAE),5/4/2010,SHPGF
NCT00456508,Safety and Efficacy Study of Repeated Doses of DX-88 (Ecallantide) to Treat Attacks of Hereditary Angioedema (HAE),Hereditary Angioedema (HAE),12/28/2012,SHPGF
NCT00441545,Head to Head Study Against Sevelamer Hydrochloride,"Chronic Kidney Disease, Stage 5",8/13/2009,SHPGF
NCT00438815,Open-Label C1 Esterase Inhibitor (C1INH-nf) for the Treatment of Acute Hereditary Angioedema (HAE) Attacks,Hereditary Angioedema,6/9/2010,SHPGF
NCT00411645,Prophylactic Use of Maribavir for the Prevention of Cytomegalovirus (CMV) Disease in Stem Cell Transplant Recipients,Cytomegalovirus Infections,6/3/2015,SHPGF
NCT00367835,SPD503 (Guanfacine Hydrochloride) in ADHD Plus Oppositional Symptoms,ADHD,11/26/2009,SHPGF
NCT00289211,C1 Esterase Inhibitor (C1INH-nf) for the Treatment of Acute Hereditary Angioedema (HAE) Attacks,Hereditary Angioedema,6/2/2010,SHPGF
NCT00151892,Efficacy and Safety of SPD476 in Maintaining Remission in Patients With Ulcerative Colitis,Ulcerative Colitis,9/21/2010,SHPGF
NCT00172185,Safety and Efficacy Study of Teduglutide in Subjects With Short Bowel Syndrome Who Completed Protocol CL0600-004 (NCT00081458),Short Bowel Syndrome,4/23/2013,SHPGF
NCT00081458,Safety and Efficacy Study of Teduglutide in Subjects With Short Bowel Syndrome,Short Bowel Syndrome,7/15/2013,SHPGF
NCT00864851,Safety and Efficacy Study of Several Replagal Dosing Regimens on Cardiac Function in Adults With Fabry Disease,Fabry Disease,6/6/2014,SHPGF
NCT00784654,"Double-blind, Placebo-controlled, Randomised Withdrawal, Extension, Safety and Efficacy Study of LDX in Children and Adolescents Aged 6-17",ADHD,10/2/2012,SHPGF
NCT02052141,Safety and Efficacy Study of CINRYZE for Prevention of Angioedema Attacks in Children Ages 6-11 With Hereditary Angioedema,Hereditary Angioedema (HAE),8/28/2018,SHPGF
NCT01124643,Extension Study of TKT028 Evaluating Safety and Clinical Outcomes of Replagal® in Adult Patients With Fabry Disease,Fabry Disease,8/22/2014,SHPGF
NCT00630747,Extension of Study TKT024 Evaluating Long-Term Safety and Clinical Outcomes in MPS II Patients Receiving Idursulfase,Hunter Syndrome|Mucopolysaccharidosis II (MPS II),3/17/2014,SHPGF
NCT00478647,Study of GA-GCB Enzyme Replacement Therapy in Type 1 Gaucher Disease Patients Previously Treated With Imiglucerase,Gaucher Disease,9/2/2010,SHPGF
NCT00069641,Iduronate-2-sulfatase Enzyme Replacement Therapy in Mucopolysaccharidosis II (MPS II),Mucopolysaccharidosis II,5/13/2015,SHPGF
NCT02055118,Study of Intrathecal Idursulfase-IT Administered in Conjunction With Elaprase® in Pediatric Patients With Hunter Syndrome and Early Cognitive Impairment,Hunter Syndrome,12/13/2018,SHPGF
NCT00553631,Study of Gene-Activated® Human Glucocerebrosidase (GA-GCB) ERT Compared With Imiglucerase in Type I Gaucher Disease,"Gaucher Disease, Type 1",1/4/2011,SHPGF
NCT01685567,Safety and Efficacy Study for Reverse Flow Used During Carotid Artery Stenting Procedure,Carotid Artery Disease,3/6/2017,SILK
NCT00430092,Study of Difluprednate in the Treatment of Inflammation Following Ocular Surgery (ST-601A-002b),Inflammation,7/2/2009,
NCT00429923,Study of Difluprednate in the Treatment of Inflammation Following Ocular Surgery (ST-601A-002a),Inflammation,7/2/2009,
NCT00345969,Exercise and Testosterone Therapy in Elderly Men With Physical Frailty,Physical Frailty|Hip Fracture|Elective Hip Replacement|Hypogonadism,2/21/2018,
NCT00775528,Study Investigating a Delayed-Release Pancrelipase in Patients With Pancreatic Exocrine Insufficiency Due to Cystic Fibrosis,Cystic Fibrosis|Pancreatic Exocrine Insufficiency,10/1/2010,
NCT00690820,Study Investigating a Delayed-Release Pancrelipase in Patients With Pancreatic Exocrine Insufficiency (PEI) Due to Cystic Fibrosis (CF),Cystic Fibrosis|Pancreatic Exocrine Insufficiency,3/10/2010,
NCT00510484,Study Investigating a Delayed-Release Pancrelipase in Patients With Exocrine Pancreatic Insufficiency Due to Cystic Fibrosis,Cystic Fibrosis,7/20/2009,
NCT00414908,A Study to Investigate the Effect of Delayed Release Pancrelipase on Maldigestion in Patients With Exocrine Pancreatic Insufficiency Due to Chronic Pancreatitis and Pancreatectomy,Chronic Pancreatitis|Pancreatectomy|Pancreatic Exocrine Insufficiency,9/16/2009,
NCT01243450,"Bioequivalence Study of Generic Tretinoin 0.04% Microsphere Gel, 0.04% Retin-A Micro® and Placebo",Acne,11/18/2014,
NCT01135069,"Bioequivalence Study of Generic Tretinoin 0.1% Microsphere Gel, 0.1% Retin-A Micro® and Placebo",Acne,10/16/2014,
NCT01330628,Randomized Study of Laser and Balloon Angioplasty Versus Balloon Angioplasty to Treat Peripheral In-stent Restenosis,Peripheral Arterial Disease,6/15/2016,
NCT00598806,Single Dose Intravesical Apaziquone Postoperative in Patients Undergoing TURBT for Noninvasive Bladder Cancer (SPI-612),Bladder Cancer,8/15/2017,SPPI
NCT00461591,Single Dose Intravesical Apaziquone Postoperative in Patients Undergoing TURBT for Noninvasive Bladder Cancer (SPI-611),Bladder Cancer,8/15/2017,SPPI
NCT00996372,Flibanserin for the Treatment of Hypoactive Sexual Desire Disorder in Postmenopausal Women,"Sexual Dysfunctions, Psychological",6/12/2014,
NCT00996164,Fixed 100 mg Every Evening of Flibanserin vs Placebo in Premenopausal Women With Hypoactive Sexual Desire Disorder,"Sexual Dysfunctions, Psychological",5/19/2014,
NCT00360555,Uptitration Trial of Flibanserin Versus Placebo in Premenopausal Women With Hypoactive Sexual Desire Disorder,"Sexual Dysfunctions, Psychological",6/27/2016,
NCT00360529,24-week Placebo-controlled Trial of Flibanserin Once Daily in Premenopausal Women With Hypoactive Sexual Desire Disorder,"Sexual Dysfunctions, Psychological",6/27/2016,
NCT00360243,6-mo. Min Eff Dose of Flibanserin: 25 v 50 mg Bid v 50 mg hs v Pbo in Younger Women in NA,"Sexual Dysfunctions, Psychological",6/27/2016,
NCT00955825,Study of Efficacy and Safety of 300 IR Sublingual Immunotherapy (SLIT) Tablets in Adult Patients With Allergic Grass Pollen Rhinoconjunctivitis,Allergic Rhinitis Due to Grass Pollens,5/19/2016,
NCT02237950,Efficacy and Safety Study of SPL7013 Gel to Prevent the Recurrence of Bacterial Vaginosis (BV),Bacterial Vaginosis,7/9/2019,
NCT01656772,Vdrive Evaluation of Remote Steering and Testing in Lasso Electrophysiology Procedures Study,Atrial Fibrillation,6/4/2015,
NCT00597428,Opioid-induced Bowel Dysfunction Pivotal Assessment of Lubiprostone,Opioid-Induced Bowel Dysfunction,12/7/2015,
NCT00595946,Opioid-induced Bowel Dysfunction: Pivotal Assessment of Lubiprostone,Opioid-Induced Bowel Dysfunction,2/3/2016,
NCT00947661,Efficacy and Safety of SPARC0912 and Reference0912 in Open Angle Glaucoma or Ocular Hypertension,Open Angle Glaucoma|Ocular Hypertension,5/30/2016,
NCT00945958,Evaluation of Safety of SPARC0913 in Open Angle Glaucoma or Ocular Hypertension,Open Angle Glaucoma|Ocular Hypertension,5/5/2016,
NCT01797185,Safety Study of SPARC1104,Spasticity,3/12/2019,
NCT01457352,Efficacy and Safety of SPARC0921 in Subjects With Spasticity,Spasticity,6/18/2019,
