Rank,Title,Status,Study Results,Conditions,Interventions,Sponsor/Collaborators,Phases,Funded Bys,Study Type,Results First Posted,URL
2611,Efficacy Study of Two Influenza Vaccines and Placebo in Healthy Adult Subjects,Completed,Has Results,Influenza,Biological: Cell culture-derived influenza vaccine|Biological: Egg-derived influenza virus vaccine|Biological: Placebo,Novartis Vaccines|Novartis,Phase 3,Industry,Interventional,16-Jan-13,https://ClinicalTrials.gov/show/NCT00630331
2612,Defibrotide for Patients With Hepatic Veno-occlusive Disease: A Treatment IND Study,Completed,Has Results,Hepatic Veno-Occlusive Disease,Drug: Defibrotide,Jazz Pharmaceuticals,Phase 3,Industry,Interventional,30-Nov-17,https://ClinicalTrials.gov/show/NCT00628498
2613,Safety Study of Levocetirizine Dihydrochloride Oral Liquid Formulation in Children Aged 6 Months to 11 Months,Completed,Has Results,Allergic Rhinitis|Chronic Urticaria,Drug: Levocetirizine 1.25 mg|Other: Placebo,UCB Pharma,Phase 3,Industry,Interventional,14-Oct-09,https://ClinicalTrials.gov/show/NCT00628108
2614,An Open-Label Extension Study of GA-GCB ERT in Patients With Type 1 Gaucher Disease,Completed,Has Results,"Gaucher Disease, Type 1",Biological: VPRIV®,Shire,Phase 3,Industry,Interventional,28-Jan-14,https://ClinicalTrials.gov/show/NCT00635427
2615,Smoking Cessation Study for Patients With Schizophrenia or Schizoaffective Disorder,Completed,Has Results,Smoking Cessation,"Drug: placebo|Drug: varenicline (CP-526,555)",Pfizer,Phase 3,Industry,Interventional,15-Apr-11,https://ClinicalTrials.gov/show/NCT00644969
2616,A Study of Dexlansoprazole Modified Release Formulation to Treat Night Heartburn,Completed,Has Results,Gastroesophageal Reflux,Drug: Dexlansoprazole|Drug: Placebo,Takeda,Phase 3,Industry,Interventional,6-May-10,https://ClinicalTrials.gov/show/NCT00627016
2617,A Study of Leuprolide to Treat Prostate Cancer,Completed,Has Results,Prostate Cancer,Drug: Leuprolide acetate - Formulation A|Drug: Leuprolide acetate - Formulation B,Abbott,Phase 3,Industry,Interventional,1-Nov-10,https://ClinicalTrials.gov/show/NCT00626431
2618,Study to Evaluate the EFFECTS of Acetylsalicylic Acid (ASA) on Niaspan®-Induced Flushing in Subjects With Dyslipidemia,Completed,Has Results,Dyslipidemia,Drug: niacin extended-release (NER)|Drug: aspirin (ASA)|Drug: aspirin placebo (ASA Pbo),Abbott,Phase 3,Industry,Interventional,25-Aug-09,https://ClinicalTrials.gov/show/NCT00626392
2619,Safety and Immune Response of Novartis MenACWY-CRM Conjugate Vaccine When Given to Healthy Toddlers,Completed,Has Results,Meningococcal Infections,Biological: MenACWY-CRM + MMRV|Biological: MMRV|Biological: MenACWY-CRM,Novartis Vaccines|Novartis,Phase 3,Industry,Interventional,15-Mar-13,https://ClinicalTrials.gov/show/NCT00626327
2620,Efficacy and Safety of Indacaterol in Patients With Chronic Obstructive Pulmonary Disease (COPD),Completed,Has Results,Chronic Obstructive Pulmonary Disease,Drug: Indacaterol 150 μg|Drug: Placebo to indacaterol,Novartis,Phase 3,Industry,Interventional,18-Aug-11,https://ClinicalTrials.gov/show/NCT00624286
2621,A Study for Patients With Erectile Dysfunction to Test Whether Tadalafil Taken Once a Day Can Better Improve Psychological Outcomes.,Completed,Has Results,Erectile Dysfunction,Drug: tadalafil once a day [T(OaD)]|Drug: sildenafil citrate as needed [S(PRN)]|Drug: tadalafil as needed [T(PRN)],Eli Lilly and Company,Phase 3,Industry,Interventional,18-Nov-10,https://ClinicalTrials.gov/show/NCT00734604
2622,Research Study To Test Carvedilol CR + Lisinopril Versus Lisinopril + Placebo In Patients With High Blood Pressure,Completed,Has Results,Hypertension,Drug: carvedilol controlled release/lisinopril|Drug: lisinopril + placebo,GlaxoSmithKline,Phase 3,Industry,Interventional,3-Aug-09,https://ClinicalTrials.gov/show/NCT00624065
2623,Trial to Evaluate the Effect of Secondary Prophylaxis With rFVIII Therapy in Severe Hemophilia A Adult and/or Adolescent Subjects Compared to That of Episodic Treatment,Completed,Has Results,Hemophilia A,"Biological: Recombinant Factor VIII (Kogenate FS, BAY14-2222)",Bayer,Phase 3,Industry,Interventional,7-Aug-13,https://ClinicalTrials.gov/show/NCT00623480
2624,Safety and Efficacy of Gadobutrol 1.0 Molar ( Gadavist ) in Patients for Central Nervous System (CNS) Imaging,Completed,Has Results,Central Nervous System Diseases,"Drug: Gadobutrol (Gadavist, Gadovist, BAY86-4875)",Bayer,Phase 3,Industry,Interventional,6-Oct-11,https://ClinicalTrials.gov/show/NCT00623467
2625,A Study of Combination Therapy With PEGASYS (Pegylated Interferon Alfa-2a (40KD)) and Copegus (Ribavirin) in Patients With Chronic Hepatitis C Genotype 2 or 3 Who Do Not Achieve a Rapid Viral Response,Completed,Has Results,"Hepatitis C, Chronic",Drug: peginterferon alfa-2a|Drug: Ribavirin,Hoffmann-La Roche,Phase 3,Industry,Interventional,24-Jun-13,https://ClinicalTrials.gov/show/NCT00623428
2626,Long-term Safety of Rivastigmine Capsule and Patch in Patients With Mild to Moderately-severe Dementia Associated With Parkinson's Disease (PDD),Completed,Has Results,Parkinson's Disease Dementia,Drug: Rivastigmine capsule|Drug: Rivastigmine transdermal patch,Novartis,Phase 3,Industry,Interventional,28-Nov-11,https://ClinicalTrials.gov/show/NCT00623103
2627,Efficacy and Safety of Concentration-controlled Everolimus to Eliminate or to Reduce Tacrolimus Compared to Tacrolimus in de Novo Liver Transplant Recipients,Completed,Has Results,Liver Transplantation,Drug: Tacrolimus (reduced tacrolimus)|Drug: Tacrolimus (tacrolimus elimination)|Drug: Tacrolimus (tacrolimus control)|Drug: Everolimus (reduced tacrolimus)|Drug: Everolimus (tacrolimus elimination)|Drug: Corticosteroids,Novartis Pharmaceuticals|Novartis,Phase 3,Industry,Interventional,20-May-13,https://ClinicalTrials.gov/show/NCT00622869
2628,Phase III Study With Teriflunomide Versus Placebo in Patients With First Clinical Symptom of Multiple Sclerosis,Completed,Has Results,Multiple Sclerosis,Drug: Teriflunomide|Drug: Placebo,Sanofi,Phase 3,Industry,Interventional,19-Dec-14,https://ClinicalTrials.gov/show/NCT00622700
2629,Efficacy and Safety of BI 1356 in Combination With Metformin in Patients With Type 2 Diabetes,Completed,Has Results,"Diabetes Mellitus, Type 2",Drug: Placebo identical to BI 1356 5mg|Drug: Placebo identical to Glimepiride 1mg or 2mg or 3mg or 4 mg|Drug: BI 1356|Drug: Glimepiride,Boehringer Ingelheim,Phase 3,Industry,Interventional,20-Feb-12,https://ClinicalTrials.gov/show/NCT00622284
2630,A Study of Eliglustat Tartrate (Genz-112638) in Patients With Gaucher Disease (ENGAGE),Completed,Has Results,"Gaucher Disease, Type 1",Drug: Eliglustat tartrate|Drug: Placebo,"Genzyme, a Sanofi Company|Sanofi",Phase 3,Industry,Interventional,3-Sep-14,https://ClinicalTrials.gov/show/NCT00891202
2631,CRESTOR Athero Imaging Head to Head IVUS Study,Completed,Has Results,Coronary Atherosclerosis,Drug: Rosuvastatin|Drug: Atorvastatin,AstraZeneca|The Cleveland Clinic,Phase 3,Industry|Other,Interventional,25-Jun-12,https://ClinicalTrials.gov/show/NCT00620542
2632,Safety Study of Levocetirizine Dihydrochloride Oral Liquid Formulation in Children Aged 1 to Less Than 6 Years Suffering From Allergic Rhinitis or Chronic Urticaria of Unknown Origin,Completed,Has Results,Allergic Rhinitis|Chronic Urticaria,Drug: Levocetirizine|Drug: Placebo,UCB Pharma,Phase 3,Industry,Interventional,4-Sep-09,https://ClinicalTrials.gov/show/NCT00619801
2633,Comparative Study of Ceftaroline vs. Ceftriaxone in Adult Subjects With Community-Acquired Pneumonia,Completed,Has Results,Bacterial Pneumonia,Drug: Ceftaroline fosamil for Injection|Drug: IV Ceftriaxone|Drug: Placebo|Drug: Clarithromycin,Forest Laboratories,Phase 3,Industry,Interventional,10-Nov-10,https://ClinicalTrials.gov/show/NCT00621504
2634,An Open-label Extension Study of Canakinumab in Patients With Systemic Juvenile Idiopathic Arthritis and Active Systemic Manifestations Manifestations and Response Characterization Study in Canakinumab Treatment-naïve Patients With Active SJIA With and Without Fever.,Completed,Has Results,Systemic Juvenile Idiopathic Arthritis,Drug: Canakinumab,Novartis Pharmaceuticals|Pediatric Rheumatology International Trials Organization|Novartis,Phase 3,Industry|Other,Interventional,10-Mar-17,https://ClinicalTrials.gov/show/NCT00891046
2635,A Phase III Trial of ZD4054 (Zibotentan) (Endothelin A Antagonist) and Docetaxel in Metastatic Hormone Resistant Prostate Cancer,Completed,Has Results,Prostate Cancer,Drug: Docetaxel|Drug: ZD4054|Drug: Placebo,AstraZeneca,Phase 3,Industry,Interventional,31-May-12,https://ClinicalTrials.gov/show/NCT00617669
2636,Immunogenicity & Safety of GSK's Influenza Vaccine 1557484A Given to Adults Aged ≥18 Years,Completed,Has Results,Influenza,"Biological: Influenza A (H5N1) Virus Monovalent Vaccine, Adjuvanted|Biological: Placebo",GlaxoSmithKline,Phase 3,Industry,Interventional,7-Feb-14,https://ClinicalTrials.gov/show/NCT00616928
2637,"Safety and Efficacy Study Using ABT-335 (Investigational Drug) in Combination With Atorvastatin, to Study the Effects on Thickening of the Blood Vessel Wall in Patients With Abnormal Lipid (Fat) Levels in the Blood",Completed,Has Results,Coronary Artery Disease|Coronary Heart Disease|Dyslipidemia,Drug: ABT-335|Drug: Placebo|Other: Atorvastatin,"AbbVie (prior sponsor, Abbott)|AbbVie",Phase 3,Industry,Interventional,20-Jan-14,https://ClinicalTrials.gov/show/NCT00616772
2638,Safety and Immune Response of Novartis of MenACWY Conjugate Vaccine When Given to Healthy Children,Completed,Has Results,Meningococcal Infections,Biological: MenACWY-CRM|Biological: Licensed meningococcal ACWY vaccine,Novartis Vaccines|Novartis,Phase 3,Industry,Interventional,9-Jun-11,https://ClinicalTrials.gov/show/NCT00616421
2639,"An Extension Study Investigating the Efficacy and Safety of a Fast-Dissolving (""Melt"") Formulation of Desmopressin for the Treatment of Nocturia in Adults",Completed,Has Results,Nocturia,Drug: Desmopressin Melt,Ferring Pharmaceuticals,Phase 3,Industry,Interventional,15-Dec-15,https://ClinicalTrials.gov/show/NCT00615836
2640,PREGNANT Short Cervix Trial,Completed,Has Results,Preterm Delivery|Short Cervix|Short Uterine Cervical Length,Drug: progesterone|Drug: placebo,"Juniper Pharmaceuticals, Inc.|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)",Phase 3,Industry|NIH,Interventional,13-Mar-12,https://ClinicalTrials.gov/show/NCT00615550
2641,Lurasidone HCl A Phase 3 Study of Patients With Acute Schizophrenia,Completed,Has Results,Schizophrenia,Drug: Lurasidone|Drug: Olanzapine|Drug: Placebo comparator|Drug: Lurasidone 40 mg tablets,Sunovion,Phase 3,Industry,Interventional,14-Feb-11,https://ClinicalTrials.gov/show/NCT00615433
2642,"Immuno,Safety of GSK Vaccine 134612 Given at Age of 12-15 Months 15-18 Months Post-priming With GSK Vaccine 792014",Completed,Has Results,"Infections, Meningococcal",Biological: GSK Biologicals' Meningococcal vaccine GSK134612 (Nimenrix)|Biological: GSK Biologicals' Hib-meningococcal vaccine GSK 792014 (Menhibrix)|Biological: Infanrix®|Biological: ActHIB®|Biological: Pediarix®,GlaxoSmithKline,Phase 3,Industry,Interventional,20-Jul-12,https://ClinicalTrials.gov/show/NCT00614614
2643,Clinical Trial to Evaluate the Efficacy and Safety of Fesoterodine in Comparison to Tolterodine Extended Release(ER)in Patients With Overactive Bladder.,Completed,Has Results,Overactive Bladder,Drug: Tolterodine ER|Drug: Placebo|Drug: Fesoterodine,Pfizer,Phase 3,Industry,Interventional,12-Jan-11,https://ClinicalTrials.gov/show/NCT00611026
2644,TH9507 Extension Study in Patients With HIV- Associated Lipodystrophy,Completed,Has Results,Lipodystrophy|HIV Infections,Drug: Tesamorelin|Drug: Placebo for Tesamorelin,Theratechnologies,Phase 3,Industry,Interventional,15-Jan-14,https://ClinicalTrials.gov/show/NCT00608023
2645,Evolocumab Compared to LDL-C Apheresis in Patients Receiving LDL-C Apheresis Prior to Study Enrollment,Completed,Has Results,Hypercholesterolemia,Biological: Evolocumab|Procedure: Low-density Lipoprotein Cholesterol (LDL-C) Apheresis,Amgen,Phase 3,Industry,Interventional,19-Sep-17,https://ClinicalTrials.gov/show/NCT02585895
2646,Pre-surgical Detection of Clear Cell Renal Cell Carcinoma (ccRCC) Using Radiolabeled G250-Antibody,Completed,Has Results,Renal Cell Carcinoma|Kidney Cancer,Drug: 124-Iodine-cG250 (124I-cG250)|Procedure: CT,Wilex,Phase 3,Industry,Interventional,14-Apr-14,https://ClinicalTrials.gov/show/NCT00606632
2647,Safety and Effectiveness Study of Imiquimod Creams for Treatment of Actinic Keratoses (AKs),Completed,Has Results,Actinic Keratoses,Drug: imiquimod cream|Drug: Placebo,"Graceway Pharmaceuticals, LLC",Phase 3,Industry,Interventional,22-Jun-10,https://ClinicalTrials.gov/show/NCT00605176
2648,Efficacy and Safety of Drotrecogin Alfa (Activated) in Adult Patients With Septic Shock,Completed,Has Results,Sepsis,Drug: Drotrecogin alfa (activated)|Drug: Placebo,Eli Lilly and Company,Phase 3,Industry,Interventional,18-Sep-12,https://ClinicalTrials.gov/show/NCT00604214
2649,Safety and Effectiveness Study of Imiquimod Creams for the Treatment of Actinic Keratoses (AKs),Completed,Has Results,Actinic Keratosis,Drug: Imiquimod cream|Drug: Placebo cream,"Graceway Pharmaceuticals, LLC",Phase 3,Industry,Interventional,22-Jun-10,https://ClinicalTrials.gov/show/NCT00603798
2650,"A Phase 3 Prospective, Randomized, Double-Masked, 12-Week, Parallel Group Study In Pediatric Subjects With Glaucoma.",Completed,Has Results,Glaucoma,Drug: Timolol|Drug: latanoprost,Pfizer,Phase 3,Industry,Interventional,2-Dec-10,https://ClinicalTrials.gov/show/NCT00716859
2651,Efficacy and Safety of B I1356 (Linagliptin) vs. Placebo Added to Metformin Background Therapy in Patients With Type 2 Diabetes,Completed,Has Results,"Diabetes Mellitus, Type 2",Drug: linagliptin,Boehringer Ingelheim,Phase 3,Industry,Interventional,7-Jun-11,https://ClinicalTrials.gov/show/NCT00601250
2652,A Study Of IV Casopitant For The Prevention Of Chemotherapy Induced Nausea And Vomiting.,Completed,Has Results,"Nausea and Vomiting, Chemotherapy-Induced",Drug: Casopitant|Drug: Dexamethasone|Drug: Placebo|Drug: Ondansetron,GlaxoSmithKline,Phase 3,Industry,Interventional,17-Jan-18,https://ClinicalTrials.gov/show/NCT00601172
2653,Safety and Efficacy of Pasireotide Long Acting Release (LAR) vs. Octreotide LAR in Patients With Active Acromegaly,Completed,Has Results,Acromegaly,Drug: Pasireotide|Drug: Octreotide,Novartis Pharmaceuticals|Novartis,Phase 3,Industry,Interventional,30-Jan-15,https://ClinicalTrials.gov/show/NCT00600886
2654,Efficacy Study of Sublingual Immunotherapy to Treat Ragweed Allergies,Completed,Has Results,Allergic Rhinitis,Biological: Standardized Ragweed Allergenic Extract|Biological: Placebo,Greer Laboratories,Phase 3,Industry,Interventional,14-Jan-15,https://ClinicalTrials.gov/show/NCT00599872
2655,"Clinical Study to Test the Efficacy and Safety of Adapalene, 0.1%",Completed,Has Results,Acne Vulgaris,Drug: Adapalene lotion 0.1%|Drug: Adapalene Lotion Vehicle,Galderma,Phase 3,Industry,Interventional,19-Apr-11,https://ClinicalTrials.gov/show/NCT00599521
2656,"Clinical Study to Test the Efficacy and Safety of Adapalene, 0.1%",Completed,Has Results,Acne Vulgaris,Drug: Adapalene lotion 0.1%|Drug: Adapalene Lotion Vehicle,Galderma,Phase 3,Industry,Interventional,19-Apr-11,https://ClinicalTrials.gov/show/NCT00598832
2657,Single Dose Intravesical Apaziquone Postoperative in Patients Undergoing TURBT for Noninvasive Bladder Cancer (SPI-612),Completed,Has Results,Bladder Cancer,Drug: Apaziquone|Drug: Placebo|Procedure: TURBT,"Spectrum Pharmaceuticals, Inc",Phase 3,Industry,Interventional,15-Aug-17,https://ClinicalTrials.gov/show/NCT00598806
2658,Phase 3 Study of ThermoDox With Radiofrequency Ablation (RFA) in Treatment of Hepatocellular Carcinoma (HCC),Completed,Has Results,Hepatocellular Carcinoma,Drug: ThermoDox|Drug: 5% Dextrose Solution,Celsion,Phase 3,Industry,Interventional,24-Mar-17,https://ClinicalTrials.gov/show/NCT00617981
2659,Study of the Safety & Efficacy of Intravenous Acetaminophen in Pediatric Inpatients,Completed,Has Results,Pain|Fever,Drug: IV Acetaminophen,Mallinckrodt,Phase 3,Industry,Interventional,6-Jan-11,https://ClinicalTrials.gov/show/NCT00598702
2660,Safety and Efficacy of Intravenous Acetaminophen (IV APAP) in Adult Inpatients,Completed,Has Results,Acute Pain|Fever,Drug: IV Acetaminophen,Mallinckrodt,Phase 3,Industry,Interventional,10-Dec-10,https://ClinicalTrials.gov/show/NCT00598559
2661,Extension Study Of Long-Term Safety And Efficacy Of Pregabalin As Monotherapy (Lyrica) In Patients With Partial Seizures,Completed,Has Results,Epilepsy,Drug: pregabalin,Pfizer,Phase 3,Industry,Interventional,11-Sep-12,https://ClinicalTrials.gov/show/NCT00596466
2662,Long-term Safety Study of Open-label Pramipexole Extended Release (ER) in Patients With Early Parkinson´s Disease (PD).,Completed,Has Results,Parkinson Disease,Drug: Placebo|Drug: Pramipexole,Boehringer Ingelheim,Phase 3,Industry,Interventional,25-Aug-11,https://ClinicalTrials.gov/show/NCT00601523
2663,Effect of LY450139 on the Long Term Progression of Alzheimer's Disease,Completed,Has Results,Alzheimer's Disease,Drug: LY450139|Drug: Placebo,Eli Lilly and Company,Phase 3,Industry,Interventional,25-Sep-14,https://ClinicalTrials.gov/show/NCT00594568
2664,An Open-Label Extension Trial to Assess the Safety of Long-Term Treatment of Rotigotine in Advance-Stage Parkinson's Disease,Completed,Has Results,Parkinson's Disease,Drug: Rotigotine,UCB Pharma,Phase 3,Industry,Interventional,18-Dec-09,https://ClinicalTrials.gov/show/NCT00594386
2665,An Open-Label Extension Trial to Assess the Safety of Long-Term Treatment of Rotigotine in Early-Stage Parkinson's Disease.,Completed,Has Results,Early-Stage Parkinson's Disease,Drug: Rotigotine,UCB Pharma,Phase 3,Industry,Interventional,25-Feb-10,https://ClinicalTrials.gov/show/NCT00594165
2666,Efficacy and Safety of Azilsartan Medoxomil Co-Administered With Chlorthalidone in Participants With Essential Hypertension,Completed,Has Results,Hypertension,Drug: Azilsartan medoxomil and chlorthalidone|Drug: Chlorthalidone,Takeda,Phase 3,Industry,Interventional,19-Apr-11,https://ClinicalTrials.gov/show/NCT00591773
2667,Efficacy and Safety Comparison of Azilsartan Medoxomil to Valsartan in Participants With Essential Hypertension,Completed,Has Results,Hypertension,Drug: Azilsartan Medoxomil|Drug: Valsartan,Takeda,Phase 3,Industry,Interventional,19-Apr-11,https://ClinicalTrials.gov/show/NCT00591578
2668,"Efficacy and Safety of Azilsartan Medoxomil, Once Daily (QD), Co-Administered With Amlodipine in Participants With Essential Hypertension",Completed,Has Results,Hypertension,Drug: Azilsartan Medoxomil and amlodipine|Drug: Amlodipine,Takeda,Phase 3,Industry,Interventional,19-Apr-11,https://ClinicalTrials.gov/show/NCT00591266
2669,Efficacy and Safety of Azilsartan Medoxomil in African American Participants With Essential Hypertension,Completed,Has Results,Hypertension,Drug: Azilsartan medoxomil|Drug: Placebo,Takeda,Phase 3,Industry,Interventional,19-Apr-11,https://ClinicalTrials.gov/show/NCT00591253
2670,"Effectiveness and Safety of 3 Fixed Doses (25 mg eq., 100 mg eq., and 150 mg eq.) of Paliperidone Palmitate in Patients With Schizophrenia",Completed,Has Results,Schizophrenia,Drug: Paliperidone palmitate 25 mg eq.|Drug: Paliperidone palmitate 150 mg eq.|Drug: Placebo|Drug: Paliperidone palmitate 100 mg eq.,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",Phase 3,Industry,Interventional,5-Oct-09,https://ClinicalTrials.gov/show/NCT00590577
2671,Comparison of Paliperidone Palmitate and RISPERDAL CONSTA in Patients With Schizophrenia,Completed,Has Results,Schizophrenia,Drug: RISPERDAL CONSTA|Drug: Paliperidone palmitate,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",Phase 3,Industry,Interventional,4-Oct-11,https://ClinicalTrials.gov/show/NCT00589914
2672,A Phase III Study of Radium-223 Dichloride in Patients With Symptomatic Hormone Refractory Prostate Cancer With Skeletal Metastases,Completed,Has Results,Hormone Refractory Prostate Cancer|Bone Metastases,"Drug: Radium-223 dichloride (Xofigo, BAY88-8223)|Drug: Placebo|Drug: Best standard of care (BSoC)",Bayer,Phase 3,Industry,Interventional,7-May-14,https://ClinicalTrials.gov/show/NCT00699751
2673,An Open-Label Trial Measuring Satisfaction And Convenience Of Two Formulations Of Lamotrigine In Subjects With A Mood Disorder,Completed,Has Results,Mood Disorders,Drug: Lamotrigine,GlaxoSmithKline,Phase 3,Industry,Interventional,3-Aug-09,https://ClinicalTrials.gov/show/NCT00579982
2674,Comparison of Inhaled Nitric Oxide and Oxygen in Patient Reactivity During Acute Pulmonary Vasodilator Testing,Completed,Has Results,Idiopathic Pulmonary Arterial Hypertension|Congenital Heart Disease With Pulmonary Hypertension|Cardiomyopathy,Drug: Nitric Oxide for inhalation|Drug: Oxygen|Drug: Nitric Oxide plus Oxygen,Mallinckrodt,Phase 3,Industry,Interventional,16-Sep-10,https://ClinicalTrials.gov/show/NCT00626028
2675,PCM Cervical Disc System,Completed,Has Results,Radiculopathy|Myelopathy,Device: Anterior Cervical Discectomy and Fusion (ACDF)|Device: PCM Cervical Disc,NuVasive,Phase 3,Industry,Interventional,12-Feb-13,https://ClinicalTrials.gov/show/NCT00578812
2676,Study of the Experience of Patients With Osteoporosis Using the Forteo B Pen to Self Administer Once Daily Teriparatide Therapy,Completed,Has Results,Osteoporosis,Drug: teriparatide,Eli Lilly and Company,Phase 3,Industry,Interventional,24-Jun-09,https://ClinicalTrials.gov/show/NCT00577863
2677,Safety and Efficacy of Asacol 4.8 g/Day Versus Asacol 2.4 g/Day (ASCEND I),Completed,Has Results,Ulcerative Colitis,Drug: mesalamine,Warner Chilcott,Phase 3,Industry,Interventional,22-Jun-11,https://ClinicalTrials.gov/show/NCT00577473
2678,Albuterol HFA MDI in Pediatric Participants With Asthma,Completed,Has Results,Asthma,Drug: Albuterol|Drug: Placebo|Drug: Proventil® HFA,"Teva Branded Pharmaceutical Products, R&D Inc.|Teva Pharmaceutical Industries",Phase 3,Industry,Interventional,3-Dec-09,https://ClinicalTrials.gov/show/NCT00577655
2679,Safety and Efficacy of AVP-923 in PBA Patients With ALS or MS,Completed,Has Results,Pseudobulbar Affect (PBA),Drug: dextromethorphan hydrobromide 20 mg and quinidine sulfate 10 mg|Drug: dextromethorphan hydrobromide 30 mg and quinidine sulfate 10 mg|Drug: Placebo,Avanir Pharmaceuticals|Syneos Health,Phase 3,Industry|Other,Interventional,10-Jul-13,https://ClinicalTrials.gov/show/NCT00573443
2680,TREXIMET® Versus Butalbital-containing Combination Medications for the Acute Treatment of Migraine in Adults,Completed,Has Results,"Migraine Disorders|Migraine, Acute",Drug: TREXIMET®|Drug: Butalbital-containing Combination Medications (BCM)|Drug: placebo,GlaxoSmithKline,Phase 3,Industry,Interventional,29-Dec-10,https://ClinicalTrials.gov/show/NCT00573170
2681,"Effects of Metformin Hydrochloride (HCl) in Combination With Colesevelam HCl, Compared to Metformin HCl Alone, in Patients With Type 2 Diabetes Mellitus and the Effects of Colesevelam HCl on Lipids and Glucose on Pre-diabetic Patients.",Completed,Has Results,Type 2 Diabetes Mellitus|Hypercholesterolemia|Pre-diabetes,Drug: Metformin HCl and Colesevelam Placebo|Drug: Metformin HCl tablets and Colesevelam tablets|Drug: Colesevelam placebo|Drug: Colesevelam,"Daiichi Sankyo, Inc.",Phase 3,Industry,Interventional,13-Jul-10,https://ClinicalTrials.gov/show/NCT00570739
2682,Evaluation of a Human Immunodeficiency Virus (HIV) Blood Screening Assay,Completed,Has Results,Healthy Donors|HIV Positive,Device: collection of follow-up sample based on PRISM HIV O Plus result,Abbott Diagnostics Division,Phase 3,Industry,Interventional,5-Jul-10,https://ClinicalTrials.gov/show/NCT00686205
2683,A Study of the Efficacy and Safety of CORLUX in the Treatment of Endogenous Cushing's Syndrome,Completed,Has Results,Cushing's Syndrome,Drug: mifepristone,Corcept Therapeutics,Phase 3,Industry,Interventional,28-May-12,https://ClinicalTrials.gov/show/NCT00569582
2684,A Safety and Efficacy Study of Naltrexone SR/Bupropion SR in Overweight and Obese Subjects,Completed,Has Results,Obesity|Overweight,Drug: Naltrexone SR 32 mg/bupropion SR 360 mg/day|Drug: Placebo|Behavioral: Ancillary therapy,"Orexigen Therapeutics, Inc",Phase 3,Industry,Interventional,21-Nov-14,https://ClinicalTrials.gov/show/NCT00567255
2685,Efficacy and Safety of Two Flexible Extended Regimens of BAY86-5300 (SH T00186D) in Comparison With the Conventional Regimen of YAZ,Completed,Has Results,"Contraception|Ovulation Inhibition|Contraceptives, Oral","Drug: EE20/DRSP (BAY86-5300)|Drug: EE20/DRSP (YAZ, BAY86-5300)",Bayer,Phase 3,Industry,Interventional,12-Mar-14,https://ClinicalTrials.gov/show/NCT00567164
2686,Open Label Study of Adalimumab in Subjects Who Have a Sub-optimal Response to Systemic Therapy or Phototherapy,Completed,Has Results,Psoriasis,Biological: adalimumab,Abbott,Phase 3,Industry,Interventional,28-May-10,https://ClinicalTrials.gov/show/NCT00566722
2687,Analgesic Efficacy & Safety of Intravenous (IV) Acetaminophen Versus Placebo for the Treatment of Postop Pain,Completed,Has Results,Pain,Drug: IV Placebo|Drug: IV Acetaminophen,Mallinckrodt,Phase 3,Industry,Interventional,30-Nov-10,https://ClinicalTrials.gov/show/NCT00564486
2688,Bio-Seal Biopsy Track Plug for Reducing Pneumothorax Rates Post Lung Biopsy Procedure,Completed,Has Results,Pneumothorax,Device: Bio-Seal Plug,Angiotech Pharmaceuticals,Phase 3,Industry,Interventional,27-Mar-13,https://ClinicalTrials.gov/show/NCT00562302
2689,VERxVE Study on Efficacy and Safety of Nevirapine XR in Comparison to Nevirapine IR With Truvada in Naive HIV+ Patients,Completed,Has Results,HIV Infections,Drug: nevirapine IR|Drug: nevirapine XR,Boehringer Ingelheim,Phase 3,Industry,Interventional,19-Jan-12,https://ClinicalTrials.gov/show/NCT00561925
2690,Comparison of Two Basal Insulins for Patients With Type 2 Diabetes Taking Oral Diabetes Medicines and Exenatide,Completed,Has Results,"Diabetes Mellitus, Type 2",Drug: Insulin Lispro Protamine Suspension|Drug: Insulin Glargine,Eli Lilly and Company,Phase 3,Industry,Interventional,14-Dec-10,https://ClinicalTrials.gov/show/NCT00560417
2691,Methotrexate-Inadequate Response Study,Completed,Has Results,Rheumatoid Arthritis (RA),Drug: Subcutaneous (SC) Abatacept|Drug: Intravenous (IV) Abatacept,Bristol-Myers Squibb,Phase 3,Industry,Interventional,6-Jul-11,https://ClinicalTrials.gov/show/NCT00559585
2692,Twice-daily Oral Direct Thrombin Inhibitor Dabigatran Etexilate in the Long Term Prevention of Recurrent Symptomatic VTE,Completed,Has Results,Venous Thromboembolism,Drug: dabigatran etexilate 150 mg twice daily (BID)|Drug: matching placebo twice daily (BID),Boehringer Ingelheim,Phase 3,Industry,Interventional,2-Mar-12,https://ClinicalTrials.gov/show/NCT00558259
2693,Ofatumumab Added to Fludarabine-Cyclophosphamide vs Fludarabine-Cyclophosphamide Combination in Relapsed Subjects With Chronic Lymphocytic Leukemia,Completed,Has Results,"Leukaemia, Lymphocytic, Chronic",Drug: OFC Infusion|Drug: FC infusion,Novartis Pharmaceuticals|Novartis,Phase 3,Industry,Interventional,25-Jul-16,https://ClinicalTrials.gov/show/NCT00824265
